字段1,字段1链接,字段2,字段3,字段5,字段6,字段4
市场运力供应充足 沿海煤炭运价维稳运行,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=576&id=236165,2023-09-07,,,,
8月全国进口煤炭4433.3万吨 同比增长50.51%,https://www.cctd.com.cn/show-114-236164-1.html,2023-09-07,,8月全国进口煤炭4433.3万吨 同比增长50.51%,"来源：海关总署
					
					发布时间：2023-09-07 14:26:37
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","海关总署9月7日公布的数据显示，2023年8月份，我国进口煤炭4433.3万吨，较去年同期的2945.6万吨增加1487.7万吨，增长50.51%；较7月份的3926万吨增加507.3万吨，增长12.92%。
　　2023年1-8月份，我国共进口煤炭30551.3万吨，同比增长82%。"
商务部：上周全国煤炭价格略有波动,https://www.cctd.com.cn/show-361-236161-1.html,2023-09-07,,商务部：上周全国煤炭价格略有波动,"来源：商务部市场运行和消费促进司
					
					发布时间：2023-09-07 10:13:45
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","据商务部监测，上周（8月28日至9月3日）全国煤炭价格略有波动，其中二号无烟块煤、炼焦煤每吨1326元和1258元，均下降0.2%，动力煤每吨828元，上涨0.1%。
　　钢材价格略有回落，其中普通中板、螺纹钢、高速线材每吨4277元、3899元和4113元，分别下降0.5%、0.4%和0.4%。"
甘肃能化集团成功发行首单10亿元中期票据,https://www.cctd.com.cn/show-22-236160-1.html,2023-09-07,,甘肃能化集团成功发行首单10亿元中期票据,"来源：甘肃能化集团
					
					发布时间：2023-09-07 10:11:57
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月5日，甘肃能化集团首单3年期10亿元中期票据成功发行，票面利率3.9%，创近10年来甘肃市场同评级、同品种债券票面利率新低。也是继2022年以来甘肃市场发行规模最大的债券之一，打造了甘肃市场AA+主体中长期债券发行新标杆。
　　作为甘肃能化集团首次发行的中长期债券业务，对于进一步稳定企业主体评级，活跃二级市场债券交易，依托资本市场拓宽企业融资渠道，助力企业重点项目建设和资源储备开发，厚植企业高质量发展潜力，引导市场投资人接触企业、了解企业、认可企业，进一步提升企业市场形象，促进后续债券发行将起到积极作用。
　　2023以来，甘肃能化集团抢抓105亿元重大资产重组圆满完成有力契机，充分发挥企业投融资平台功能，在相继成功发行两期超短期、资金规模达10亿元债券的基础上，全面推进“四个百亿”资本运作计划落实，与中国进出口银行、中国农业发展银行、国家开发银行分别签订100亿元的授信融资合作协议，为加快推进企业并购重组、项目培育、资源储备开发等提供有力资金保障。"
晋能控股集团举办有限空间作业安全管理人员视频培训,https://www.cctd.com.cn/show-22-236159-1.html,2023-09-07,,晋能控股集团举办有限空间作业安全管理人员视频培训,"来源：晋能控股集团
					
					发布时间：2023-09-07 10:06:52
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","为深刻汲取近期有限空间作业生产安全事故教训，切实加强有限空间作业风险把控，有效防范类似事故再次发生，按照省委省政府和集团公司相关部署要求，9月6日，晋能控股集团举办有限空间作业安全管理人员视频培训。集团公司安全环保部、煤炭产业部、应急指挥中心、电力装备部等部门以及各二级公司主要负责人、分管安全负责人等在主分会场参加。　　
　　培训邀请太原市应急管理局相关专家进行授课，重点围绕什么是有限空间、有限空间作业安全技术要求、有限空间作业事故案例、坚决落实“三管三必须”要求扎实推进有限空间作业安全检查、有限空间应急演练等五个方面进行深入讲解。结合实际案例与自身经验剖析事故原因，强调了有限空间作业的安全管理要求和政策法规等重点内容。
　　培训要求，要提高思想认识，切实做好下一步各项培训工作，做到不漏一人、不缺一课，高质量完成有限空间作业大教育大培训工作。要紧密结合全省正在开展的重大事故隐患专项排查整治行动，周密安排、一体推进，多部门协作消除有限空间作业各类隐患。要加强培训考核及监督检查力度，相关部门和二级单位要对专项培训方案、培训组织实施、培训考核、结果运用等情况进行抽查抽考，制定具体考核办法和措施，切实提高培训质量，确保培训取得实效。"
中国煤科赴澳大利亚参加2023年亚太国际矿业展览会,https://www.cctd.com.cn/show-22-236158-1.html,2023-09-07,,中国煤科赴澳大利亚参加2023年亚太国际矿业展览会,"来源：中国煤科
					
					发布时间：2023-09-07 10:03:48
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月5日，亚太国际矿业展览会（AIMEX）在澳大利亚悉尼盛大开幕。中国煤科党委副书记、总经理赵永峰带队参加本次展览会。
　　亚太国际矿业展览会（AIMEX）始于1970年，每两年举办一届，是目前亚太地区最专业的矿业机械及设备展。作为澳大利亚最大、最为知名的矿业行业盛会，亚太国际矿业展览会极具行业号召力，观众群体涵盖矿山生产企业及相关企业管理、专业技术、销售与采购人员等，是国际矿业装备企业在澳寻找商机、开拓市场、品牌宣传、合作交流及了解行业发展趋势的难得盛会。本届亚太国际矿业展览会吸引了来自澳大利亚、中国、德国和法国等十余个国家和地区的239家知名企业参展。
　　中国煤科对于本次展会高度重视，积极组织，精心筹备，在展馆核心展位展示了煤炭行业全产业链与创新链业务，结合澳大利亚地区矿业市场需求，遴选了定向钻机、钻锚一体化智能快掘成套装备等优势技术装备制作精美模型与视频参展。
　　中国煤科天玛智控地面分控中心（太空舱）获得了观展人员的广泛关注，纷纷亲身体验地面模拟操控，感受远程规划截割的便利。
　　亚太国际矿业展览会主办方前往中国煤科展位交流，项目总监Samantha Martin体验了中国煤科地面分控中心（控制台），称赞中国煤科在煤矿智能化、灾害防治等方面取得的技术进步，并表示很高兴能在亚太地区煤机装备交流平台——亚太国际矿业展览会看到中国煤科这样的全产业链跨国企业的身影，期望中国煤科能够将更多的中国先进的煤炭开采技术与装备推向亚太矿业市场，为国际矿业行业提供创新解决方案与活力。
　　本次展会是继俄罗斯第31届国际煤炭和采矿专业技术博览会、第26届世界采矿大会展览会之后中国煤科第三次在境外参展。近年来，中国煤科分类施策推动国际化发展，国际知名度与影响力不断提升。下一步，中国煤科将不断深耕澳大利亚煤机装备市场，寻求营销机遇，进一步将中国煤科解决方案推向全球。"
陕煤集团召开高质量项目推进会,https://www.cctd.com.cn/show-22-236157-1.html,2023-09-07,,陕煤集团召开高质量项目推进会,"来源：陕煤集团
					
					发布时间：2023-09-07 10:03:00
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月6日，陕煤集团召开高质量项目推进会，主要任务是对照陕西省委、省政府和集团公司“三个年”各项决策部署，结合主题教育要求，贯彻落实集团公司半年工作会精神，重点围绕高质量项目提升，坚持问题导向，系统梳理集团公司当前在项目投资和基本建设等方面的短板，对高质量项目推进工作进行再部署、再动员、再落实，不断强化以高质量项目引领高质量发展的鲜明导向。陕煤集团党委副书记、董事、总经理赵福堂出席会议并讲话，副总经理袁广金主持会议。
　　赵福堂指出，谋划项目就是谋划未来，高质量的项目决定着集团公司的未来，要在提升运行质量的同时，狠抓项目推动。他就高质量项目推进强调，一是要勤总结善反思，把准高质量项目提升之脉。集团高质量建设项目“四个一批”（谋划论证一批、前期储备一批、重点建设一批、建成投产一批），涉及煤矿、化工、电力、铁路、钢铁、固废综合利用等多个行业，将为集团转型升级和高质量发展提供有力支撑。但从全年计划完成情况和重点项目推进情况来看，当前投资、经营等各个领域任务艰巨、压力较大，所属各单位要善思善谋、善作善成，在下一阶段工作中有的放矢。二是抓短板找弱项，问清高质量项目提升之诊。要清醒认识集团在投资管控和项目管理方面存在的问题，始终保持高度的战略定力，科学规划产业布局，前瞻筹划项目储备，精准优化项目接续，合理调整项目实施，通过战略引领和项目落地，多措并举加快集团转型升级步伐，不断加强投资管控和项目管理。三是强管理增效能，开好高质量项目提升良方。各单位、各部门必须认真把握领会高质量发展的历史逻辑、深刻内涵和实践要求，牢固树立“为发展谋项目，为发展抓项目”的意识，坚持上下“一盘棋”，紧盯中省决策部署和行业趋势，结合集团转型升级发展实际，全面评估，重新梳理，形成集团的战略方向、产业发展路径及配套项目，确保传统产业转型升级与新兴产业加速布局协同发展，切实提升规划引领水平、职能管理水平、制度保障水平和人才要素水平。
　　赵福堂要求，集团总部要做好五个“紧扣”：紧扣总部指挥中枢功能和战略指挥职能；紧扣强化总部管控；紧扣创新型总部建设；紧扣打造高效型总部；紧扣服务型总部提升。各板块公司、直属单位要坚持五个“强化”：强化项目管理机制运行；强化项目管理制度建设与监督执行；强化项目计划管理与目标责任考核；强化项目投资、进度、质量、安全监督管理；强化项目全过程支撑与保障。项目单位要做到五个“狠抓”：狠抓项目设计文件和项目管理策划等专项方案的编制质量及执行；狠抓项目投资计划和进度计划的分解落实及动态纠偏；狠抓项目建设安全、质量、环保等现场管理；狠抓全过程造价控制；狠抓风险与合规管理。要通过管理效能提升，实现“四个一批”的良性大循环和单个项目从项目立项、可行性研究、要素保障、开工建设到竣工验收、投产运行、绩效评价全生命周期的良性小循环。
　　就抓好会议精神落实，袁广金指出，一要提高政治站位，凝聚思想共识。各单位、各部门要紧密结合项目实际，切实把高质量要求落实到项目谋划、项目共振、项目审批和项目建设各环节、全过程，用高质量项目提升推动高质量发展新成效来检验主题教育成果。二要迅速传达落实，形成工作合力。各单位、各部门要把会议精神细化落实到高质量项目提升的具体工作中。形成一把手亲自抓，分管领导具体抓，业务部门全面抓，一级抓一级，层层抓落实，上下联动、齐抓共管的良好工作局面。三要聚焦目标短板，加强督导推进。各单位、各部门要全面梳理当前高质量项目提升工作的难点堵点和痛点，形成工作清单，优化工作机制，强化工作落实，持续推动“四个一批”项目落实落地落细。
　　会上，陕煤集团总经理助理、战略规划部总经理宋世杰，基本建设管理部总经理李仰东通报了“四个一批”高质量项目推进及合规性检查情况，榆林化学公司、长安电力华中发电公司、韩城矿业公司依次作交流发言。
　　集团公司战略规划部、基本建设管理部、企业管理部、安全监察部、环保监察部、财务资产部、资本运营部、审计部、综合部、宣传部负责人及相关人员在主会场参会；其他板块公司、直属企业及相关建设单位主要领导，分管规划、基本建设领导及部门负责人在视频分会场参会。"
刘国跃会见乌海市委书记唐毅,https://www.cctd.com.cn/show-22-236156-1.html,2023-09-07,,刘国跃会见乌海市委书记唐毅,"来源：国家能源集团
					
					发布时间：2023-09-07 09:59:18
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月1日下午，国家能源集团党组书记、董事长刘国跃在京会见内蒙古自治区乌海市委书记唐毅，双方围绕加强地企合作、推动转型发展进行座谈交流。乌海市委常委、秘书长李春晓参加会谈。
　　双方表示，将深入贯彻落实习近平总书记“四个革命、一个合作”能源安全新战略，加强煤炭清洁高效利用，推动现代煤化工产业高端化、多元化、低碳化发展，进一步深化在产业资源整合、煤炭深部资源开发、现代煤化工产业高质量发展、新能源项目开发等方面的合作，加快推进传统产业转型升级和煤化工产业延链、补链，共同打造服务地方经济高质量发展新动能。
　　会谈前，唐毅一行参观了集团公司生产运营协同调度指挥中心。
　　乌海市委副秘书长、海南区委书记，集团公司综合管理部、战略规划部、煤炭与运输管理部和焦化公司、乌海能源主要负责人参加座谈。"
专家学者齐聚煤省山西 热议煤炭清洁高效利用,https://www.cctd.com.cn/show-176-236155-1.html,2023-09-07,,专家学者齐聚煤省山西 热议煤炭清洁高效利用,"来源：中国新闻网
					
					发布时间：2023-09-07 09:56:43
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月6日，2023年太原能源低碳发展论坛煤炭清洁高效利用平行论坛在山西太原举行。论坛由中国煤炭工业协会、山西省科学技术厅、怀柔实验室山西研究院、清华大学山西清洁能源研究院共同主办。来自全国各地的专家学者齐聚于此，围绕煤炭清洁高效利用及碳中和关键技术创新，共商全球能源低碳发展及能源革命技术发展新路径。
　　山西是全国最大的产煤省份之一，也是全国首个能源革命综合改革试点。近年来，该省出台全国首部关于针对煤炭清洁高效利用促进工作的省级地方性法规，推进国家超算中心清洁高效利用国家重点实验室、怀柔实验室山西研究院等能源领域落户山西。
　　论坛上，中国科学院院士、中国科技大学校长包信和表示，中国实现能源革命和碳中和是一场硬仗。碳中和背景下，中国化石能源的未来是低碳绿色利用。煤炭作为碳资源的属性越来越重要，关键是如何高效转化。煤转化必然趋势是与可再生能源和氢等深度耦合。
　　道达尔新能源亚洲研发副总裁、中国欧盟商会能源工作组主席徐忠华同样认为，能源转型是漫长之旅，能源安全和碳中和是两大支柱，需要提出规模化、经济、绿色、可持续和稳定的低碳能源解决方案。
　　“要承认中国是个处于初级工业化完成期，以煤炭为基础能源的发展中国家。”中国工程院院士、清华大学能源与动力工程系研究员岳光溪提出，在没有找到零碳排放技术的现实下，考虑中国近期的能源战略：能源安全供应、清洁高效、减碳的实现和零碳的探讨。
　　其间，中国工程院院士、中国科学院广州能源研究所研究员陈勇从农村能源革命方面进行主旨演讲。他认为，农村能源革命是中国能源革命的重要组成部分，也是乡村振兴的关键因素。“能源是乡村振兴的基本保障，可再生能源应成为农村主要能源，农村对‘双碳’目标实现贡献巨大。”
　　中国科学院院士、中国科学院化学研究所研究员韩布兴则从绿色化学与碳中和方面发言。“发展绿色化学是实现化学工业持续发展、实现碳中和的重要途径。”韩布兴说，创新是发展绿色化学的关键，发展绿色技术、建立高水平工业园区、逐步实现智能化是发展绿色产业三大途径。
　　此外，论坛期间，中国工程院院士、中国矿业大学教授彭苏萍介绍了CO2近零排放的IGFC技术理论体系、系统集成关键技术以及国内首套百千瓦级IGFC试验示范系统情况，探索煤炭清洁高效发电新路径，助力国家双碳目标实现。"
2023年太原能源低碳发展论坛开幕,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=712&id=236154,2023-09-07,,2023年太原能源低碳发展论坛开幕,"来源：黄河新闻网
					
					发布时间：2023-09-07 09:54:41
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月6日上午，2023年太原能源低碳发展论坛正式开幕。国务院总理李强向论坛发来贺信。山西省委书记、省人大常委会主任蓝佛安在论坛开幕式宣读贺信，并致欢迎辞、宣布论坛开幕。论坛主办部委负责同志、外国政要等在开幕式上致辞。国际组织、驻华大使、友好城市、院士专家、中央企业和跨国企业负责人等在高峰论坛发表演讲。

　　本次论坛的主题是“智慧能源 绿色共赢”，由外交部、国家发展改革委、科学技术部、自然资源部、生态环境部、国务院国资委、国家能源局和山西省人民政府共同主办。
　　本次太原论坛还重点开展4场国际会议、11场平行论坛和2场山西特色活动。4场国际会议中，冰岛主宾国论坛围绕地热资源开发利用、碳循环等领域开展合作交流；第十三届全球新能源企业500强峰会围绕共建数字储能新生态开展深度研讨，发布相关研究成果；国际友城合作交流对话活动围绕绿色转型与高质量发展、文明交流互鉴与文旅合作等领域开展交流，推动我省与国际友好城市开展务实合作，签署结好意向协议书；胡润百富助力山西能源产业高质量发展专题活动围绕能源企业转型、信息化建设、品牌战略等话题开展广泛讨论，发布“2023胡润中国能源（产业）百强榜”。11场平行论坛由知名国际机构、国家级机构、跨国企业与我省有关单位围绕“智慧能源”“清洁能源”“能源安全”“能源合作”等主题举办，将形成框架协议、白皮书、倡议书、合作意向书等活动成果，并签约一批项目。2场特色活动包括能源革命成果和案例发布会、山西省与中央企业深化合作专题活动，突出“山西行动”。
　　论坛期间，山西省还组织驻华使节赴太原、大同、朔州、晋中等市调研参访，邀请国际青年参加太原论坛相关活动并赴太原、晋中、阳泉等市参访。
　　太原能源低碳发展论坛（以下简称太原论坛）是2016年经国务院批准设立的国家级、国际性、专业化论坛，已成功举办六届，逐步成为国际能源领域的高端对话平台、科技成果发布平台和国际合作对接平台。"
中共中央办公厅 国务院办公厅关于进一步加强矿山安全生产工作的意见,https://www.cctd.com.cn/show-108-236152-1.html,2023-09-07,,中共中央办公厅 国务院办公厅关于进一步加强矿山安全生产工作的意见,"来源：新华社
					
					发布时间：2023-09-07 09:47:14
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","矿山安全生产事关人民群众生命财产安全，事关经济发展和社会稳定大局，是安全生产的重中之重。为深入贯彻党的二十大精神，进一步加强矿山安全生产工作，经党中央、国务院同意，现提出如下意见。
　　一、严格矿山安全生产准入
　　（一）严格灾害严重煤矿安全准入。停止新建产能低于90万吨/年的煤与瓦斯突出、冲击地压、水文地质类型极复杂的煤矿。新建煤与瓦斯突出、冲击地压、水文地质类型极复杂的煤矿原则上应按采煤、掘进智能化设计。
　　（二）严格非煤矿山源头管控。严格按照矿产资源规划、国土空间规划和用途管制要求，科学合理设置矿山。矿产资源勘查应达到规定程度，相邻矿山生产建设作业范围最小距离应满足相关安全规定，普通建筑用砂石露天矿山不得以山脊划界。除符合规定的情形外，新设采矿权范围不得与已设采矿权垂直投影范围重叠，可集中开发的同一矿体不得设立2个以上采矿权。采矿许可证证载规模是拟建设规模，矿山设计单位可在项目可行性研究基础上，充分考虑资源高效利用、安全生产、生态环境保护等因素，在矿山初步设计和安全设施设计中科学论证并确定实际生产建设规模，矿山企业应当严格按照经审查批准的安全设施设计建设、生产。
　　（三）规范安全生产行政许可。煤矿、金属非金属地下矿山、尾矿库等矿山的安全设施设计审查和安全生产许可证审批由省级以上矿山安全监管部门负责，不得下放或者委托。矿山安全监管部门应当制定矿山建设项目安全设施设计审查规范，严格实质内容审查，不得仅对程序和形式进行审查。矿山开发没有进行一次性总体设计的，原则上不得审批安全设施设计。1个采矿权范围内原则上只能设置1个生产系统。审批首次申请安全生产许可证的，应进行现场核查。
　　二、推进矿山转型升级
　　（四）分类处置不具备安全生产条件的矿山。对未依法取得采矿许可证、安全生产许可证擅自从事矿产资源开采的，越界开采、以采代建、持勘查许可证采矿且拒不整改的，与煤共（伴）生金属非金属矿山经停产整顿仍达不到煤矿安全生产条件的，使用应当淘汰的危及生产安全的工艺、设备且拒不整改仍然生产建设的，或者经停产整顿仍不具备安全生产条件的矿山，依法予以关闭取缔。对长期停工停产、资源枯竭的矿山，灾害严重且难以有效防治的煤矿，积极引导退出。
　　（五）推进尾矿库闭库销号。对运行到设计最终标高、不再排尾作业、停用超过3年或者没有生产经营主体的尾矿库，应当及时闭库治理并销号。完成闭库治理的尾矿库，应由县级以上地方政府公告销号，不再作为尾矿库进行使用，不得重新用于排放尾矿。
　　（六）实施非煤矿山整合重组。鼓励大型矿山企业兼并重组和整合技改中小型非煤矿山企业。推动同一个矿体分属2个以上不同开采主体的非煤矿山，生产建设作业范围最小距离不满足相关安全规定的非煤矿山，以山脊划界的普通建筑用砂石露天矿山等企业整合重组，统一开采规划、生产系统和安全管理。
　　（七）加快矿山升级改造。推动中小型矿山机械化升级改造和大型矿山自动化、智能化升级改造，加快灾害严重、高海拔等矿山智能化建设，打造一批自动化、智能化标杆矿山。地下矿山应当建立人员定位、安全监测监控、通信联络、压风自救和供水施救等系统。新建、改扩建金属非金属地下矿山原则上采用充填采矿法，不能采用的应严格论证。中小型金属非金属地下矿山不得有4个以上生产水平同时采矿。尾矿库应当建立在线安全监测系统，新建四等、五等小型尾矿库应当采用一次性建坝。
　　（八）提高科技创新支撑能力。强化矿山安全科技支撑体系建设。加强矿山重大灾害预防与治理研究，组织重大关键技术攻关。推进矿山信息化、智能化装备和机器人研发及应用。实施一批矿山安全类重大科技项目。研究推进建设矿山安全领域全国重点实验室。
　　三、防范化解重大安全风险
　　（九）健全矿山安全管理体系。矿山企业应当健全以安全风险分级管控和隐患排查治理双重预防机制为核心的安全生产标准化管理体系。严格开展风险辨识评估并实施分级管控，定期开展全员全覆盖隐患排查治理，建立风险隐患台账清单，实行闭环管理。各级矿山安全监管监察部门应当推动企业切实提高风险隐患排查和整改质量，建立重大隐患治理督办制度，在重大隐患消除前跟踪监管，并监督整改销号。对排查整改不到位导致重大隐患依然存在或发生事故的，依法追究企业及相关责任人责任。
　　（十）强化重大灾害治理。矿山企业应当查明隐蔽致灾因素，实施煤与瓦斯突出、冲击地压、水害等重大灾害分区管理、超前治理。将煤矿灾害等级鉴定纳入安全检测检验范围，及时公示鉴定结果。规范煤矿生产能力管理和核定工作。金属非金属露天矿山采场及排土场边坡高度大于100米的，应当逐年进行边坡稳定性分析。金属非金属地下矿山采空区体积超过规定的，应当及时进行稳定性专项评估。尾矿库排洪构筑物每3年应进行一次质量检测。
　　（十一）严格设备设施安全管理。完善矿山井下特种设备安全标志审核发放和监督机制。定期对取得矿山井下特种设备安全标志的在用设备设施开展安全可靠性检验。建立矿用安全设备全生命周期智慧监管平台，实行矿用设备安全责任追究制度。
　　（十二）规范非煤矿山外包工程管理。非煤矿山企业统一负责外包工程施工单位的安全管理。金属非金属地下矿山严禁将爆破作业专项外包。金属非金属地下基建矿山掘进工程承包单位数量不得超过3家。大中型金属非金属地下生产矿山采掘工程承包单位数量不得超过2家，小型金属非金属地下生产矿山采掘工程承包单位数量不得超过1家，承包单位严禁转包和分包采掘工程及爆破作业项目。承包单位应当向项目部派出项目负责人、技术人员和特种作业人员；项目负责人、技术人员应当具有矿山相关专业中专以上学历或者中级以上专业技术职称，且不得在其他矿山兼职。力争到2025年年底，生产矿山建立本单位采掘（剥）施工队伍或者委托具备相应条件的企业整体管理。
　　（十三）加强停工停产矿山安全管控。停工停产整改的矿山应当制定整改方案，限定单班下井人数，同一作业地点控制在10人以内，并向矿山安全监管监察部门报告后方可进行整改作业。地方政府及有关部门应当对停工停产整改煤矿实施驻矿盯守，对其他停工停产矿山落实驻矿盯守或者巡查责任，并按规定进行复工复产验收，因监督检查不力，停工停产期间继续组织建设生产的，依法严肃追究企业及相关责任人责任。
　　（十四）提升风险监测预警处置能力。加强矿山多灾种和灾害链综合监测、风险早期识别和预警预报能力建设。矿山集中地区应当建立区域性矿山救援队伍。地下矿山、尾矿库“头顶库”应当建立应急广播等通信系统，确保应急指令能第一时间传达至影响范围内所有人员。加强应急预案演练、评估和修订。每年汛期前地方政府应当组织尾矿库“头顶库”企业与下游居民开展联合演练。强化灾害性天气预警预报，遇极端天气严禁人员入井。
　　四、强化企业主体责任
　　（十五）落实主要负责人责任。矿山及其上级企业主要负责人（含法定代表人、实际控制人、实际负责人）依法履行安全生产第一责任人责任，加大安全投入和安全培训力度，及时研究解决矿山安全生产重大问题。矿山企业总部应当加强下属企业监督检查，主要负责人应当定期到生产现场督促检查安全生产工作，严禁下达超能力生产计划或者经营指标。推广矿长安全生产考核记分制度。
　　（十六）健全安全管理机构。涉矿中央企业总部和涉矿大中型企业应当配备安全总监。地下矿山应当配备矿长、总工程师和分管安全、生产、机电等工作的副矿长，所配备人员应当具有矿山相关专业大专以上学历或者中级以上专业技术职称，且不得在其他矿山兼职。煤矿、金属非金属矿山、尾矿库应当配备相关专业中专以上学历或者中级以上专业技术职称的专职技术人员。灾害严重矿山应当按要求配备灾害治理专职领导人员、专门机构、专业人员。
　　（十七）强化安全基础管理。矿山企业应当建立健全并落实全员安全生产岗位责任制和安全生产管理制度。按照要求绘制、更新相关图纸，并报送矿山安全监管监察部门。未经安全培训合格的从业人员不得上岗作业，矿长、总工程师和分管安全、生产、机电等工作的副矿长每年应当接受专门的安全教育培训。首次取证的地下矿山特种作业人员应当具有高中以上文化程度。严格井下劳动定员管理，不得超定员安排人员下井作业，提高井下艰苦岗位津贴。取消井下劳务派遣用工，矿山企业或承包单位对欠薪应依法承担清偿责任。
　　五、落实地方党政领导责任和部门监管监察责任
　　（十八）落实地方党政领导责任。坚持党政同责、一岗双责、齐抓共管、失职追责，严格落实矿山安全领导责任，组织开展区域性矿山隐蔽致灾因素普查治理，严厉打击非法盗采矿产资源行为。加强矿山安全监管机构和队伍建设，专业监管人员配备比例不低于在职人员的75%。矿山安全重点市、县党政主要领导要定期研究矿山安全生产工作，深入矿山井下督促检查。实行市级、县级地方政府领导包保煤矿、金属非金属地下矿山和尾矿库安全生产责任制。
　　（十九）落实矿山安全监管责任。各地区应当坚持明责知责、履责尽责，按照分级分类原则，明确省市县三级矿山安全监管执法管辖权限，明确矿山和尾矿库日常安全监管主体，建立部门联合执法和问题线索移交机制，大力提高执法专业素养，切实提升发现问题和解决问题的强烈意愿和能力水平。中央企业所属矿山安全监管应由市地级以上部门负责。尾矿库“头顶库”、采深超800米或者单班下井人数超30人的金属非金属地下矿山、边坡高度超200米的金属非金属露天矿山等高风险矿山安全监管，原则上不得下放至县级部门。按照“谁主管、谁负责”原则，矿山安全监管监察部门负责矿山安全监察和矿山安全生产监督管理工作。按照“管行业必须管安全、管业务必须管安全、管生产经营必须管安全”要求，其他各有关部门要在行业管理、业务管理、生产经营管理中一体推进落实矿山安全生产各项要求。各级安全生产委员会办公室要加强对矿山安全生产工作的协调指导。
　　（二十）强化矿山安全国家监察。健全国家矿山安全监察体制，国家矿山安全监察部门负责监督检查地方矿山安全监管工作，向地方政府提出改善和加强矿山安全监管工作的意见和建议。统筹矿山安全监管监察执法保障体系建设，推动落实监管监察能力建设规划，完善技术支撑体系，健全国家矿山安全智能化监管监察系统。
　　六、推进矿山安全依法治理
　　（二十一）加强执法保障建设。推动修订矿山安全法，制定煤矿安全生产条例，加强矿山安全标准化建设工作。完善矿山安全监管监察专业人才培养机制，提高待遇保障。加强在线监控联网和矿山安全综合信息化平台建设，强化执法装备保障。
　　（二十二）强化安全监督检查。矿山行业管理和安全监管监察部门应严格检查执法，严禁以罚代管、罚而不管。推动建立健全矿山安全生产案件移送、行政执法和刑事司法衔接机制，发现涉嫌犯罪的按规定及时移交司法机关。加强矿山领域安全评价、设计、检测、检验、认证、咨询、培训、监理等第三方服务机构监督管理。建立矿山安全评价检测检验报告公开制度。建立健全重大违法违规信息公示制度、联合惩戒制度和举报奖励制度。建立责任倒查机制，严格执行“谁检查、谁签名、谁负责”，对发现重大隐患不处理处罚或跟踪整改不到位的，依法严肃追责问责。
　　（二十三）严格事故调查处理。对较大涉险事故、瞒报谎报重大及以下矿山生产安全事故，视情况提级调查。接到瞒报谎报事故举报，属地县级以上地方政府应当组织核查。发生较大以上死亡事故的矿山，应当停产整顿，经验收符合安全生产条件后方可恢复生产。
　　七、强化组织实施
　　（二十四）健全保障措施。各地区各有关部门要加强组织领导，明确任务分工，细化工作措施，研究配套政策。要统筹资金渠道，加强矿山淘汰退出、尾矿库治理、信息化系统、智能化矿山建设和安全监督检查等经费保障。应急管理部牵头建立矿山安全协调推进机制，将本意见落实情况纳入省级政府安全生产和消防工作考核巡查内容。纪检监察机关、组织人事部门和安全生产监管监察部门按照权限和职责，对安全生产责任履行不到位的，要依规依纪依法严肃追责问责，确保矿山安全生产工作各项部署要求落实到位。"
